time,co2
1627862426,612
1627862486,610
1627862546,606
1627862606,609
1627862666,606
1627862726,605
1627862786,609
1627862846,610
1627862906,612
1627862966,611
1627863026,610
1627863086,610
1627863146,613
1627863206,613
1627863266,612
1627863326,613
1627863386,611
1627863447,615
1627863506,616
1627863566,611
1627863626,611
1627863686,609
1627863746,608
1627863806,606
1627863866,609
1627863926,609
1627863986,607
1627864046,609
1627864106,610
1627864166,615
1627864226,614
1627864286,613
1627864346,617
1627864406,619
1627864466,621
1627864526,621
1627864586,624
1627864646,624
1627864706,623
1627864766,621
1627864826,622
1627864886,622
1627864946,621
1627865006,617
1627865066,618
1627865126,616
1627865186,618
1627865246,619
1627865306,616
1627865366,610
1627865426,611
1627865486,615
1627865546,615
1627865606,620
1627865666,621
1627865726,622
1627865786,623
1627865846,624
1627865906,625
1627865966,622
1627866026,620
1627866086,624
1627866146,625
1627866206,626
1627866266,623
1627866326,622
1627866386,624
1627866446,622
1627866506,624
1627866566,618
1627866626,617
1627866686,624
1627866746,625
1627866806,629
1627866866,632
1627866926,627
1627866986,628
1627867046,630
1627867106,628
1627867166,623
1627867226,625
1627867286,626
1627867346,629
1627867406,628
1627867466,627
1627867526,631
1627867586,630
1627867646,625
1627867706,629
1627867766,632
1627867826,631
1627867886,630
1627867946,634
1627868006,634
1627868066,631
1627868126,632
1627868186,635
1627868246,638
1627868306,640
1627868366,638
1627868426,635
1627868486,633
1627868546,636
1627868606,635
1627868666,635
1627868726,635
1627868786,637
1627868846,638
1627868906,640
1627868966,641
1627869026,639
1627869086,638
1627869146,638
1627869206,640
1627869266,641
1627869326,642
1627869386,639
1627869446,641
1627869506,642
1627869566,640
1627869626,641
1627869686,644
1627869746,643
1627869806,639
1627869866,642
1627869926,644
1627869986,647
1627870046,649
1627870106,649
1627870166,644
1627870226,647
1627870286,649
1627870346,651
1627870406,646
1627870466,645
1627870526,648
1627870586,649
1627870646,652
1627870706,651
1627870766,650
1627870826,648
1627870886,653
1627870946,652
1627871006,648
1627871066,642
1627871126,642
1627871186,642
1627871246,646
1627871306,646
1627871366,644
1627871426,645
1627871486,646
1627871546,646
1627871606,646
1627871666,647
1627871726,651
1627871786,656
1627871846,655
1627871906,654
1627871966,657
1627872026,660
1627872086,658
1627872146,656
1627872206,655
1627872266,657
1627872326,661
1627872386,662
1627872446,661
1627872506,665
1627872566,662
1627872626,659
1627872686,659
1627872746,662
1627872806,660
1627872866,661
1627872926,664
1627872986,663
1627873046,663
1627873106,659
1627873166,655
1627873226,656
1627873286,661
1627873346,664
1627873406,665
1627873466,664
1627873526,662
1627873586,658
1627873646,659
1627873705,663
1627873766,664
1627873825,665
1627873885,670
1627873946,666
1627874006,665
1627874065,660
1627874125,663
1627874185,671
1627874245,670
1627874305,673
1627874366,676
1627874425,669
1627874486,671
1627874545,670
1627874606,669
1627874665,669
1627874725,665
1627874785,667
1627874845,670
1627874905,668
1627874965,666
1627875025,672
1627875085,674
1627875145,677
1627875205,680
1627875265,675
1627875325,675
1627875385,676
1627875445,675
1627875505,681
1627875565,681
1627875625,676
1627875685,677
1627875745,675
1627875805,673
1627875865,671
1627875925,673
1627875985,669
1627876045,672
1627876105,671
1627876165,675
1627876225,676
1627876285,676
1627876345,676
1627876405,673
1627876465,675
1627876525,680
1627876585,678
1627876645,680
1627876705,680
1627876765,683
1627876825,681
1627876885,677
1627876945,675
1627877005,680
1627877065,678
1627877125,678
1627877185,678
1627877245,677
1627877305,676
1627877365,676
1627877425,680
1627877485,678
1627877545,677
1627877605,677
1627877665,676
1627877725,674
1627877785,671
1627877845,674
1627877905,677
1627877965,679
1627878025,680
1627878085,678
1627878145,676
1627878205,676
1627878265,677
1627878325,681
1627878385,677
1627878445,673
1627878505,674
1627878565,671
1627878625,673
1627878685,672
1627878745,671
1627878805,674
1627878865,672
1627878925,671
1627878985,672
1627879045,667
1627879105,667
1627879165,669
1627879225,671
1627879285,672
1627879345,670
1627879405,669
1627879465,673
1627879525,675
1627879585,676
1627879645,669
1627879705,672
1627879765,674
1627879825,679
1627879885,680
1627879945,676
1627880005,675
1627880065,670
1627880125,668
1627880185,664
1627880245,668
1627880305,670
1627880365,667
1627880425,668
1627880485,670
1627880545,668
1627880605,670
1627880665,670
1627880725,671
1627880785,673
1627880845,666
1627880905,666
1627880965,669
1627881025,671
1627881085,671
1627881145,669
1627881205,666
1627881265,667
1627881325,666
1627881385,675
1627881445,679
1627881505,674
1627881565,671
1627881625,667
1627881685,669
1627881745,667
1627881805,661
1627881865,659
1627881925,658
1627881985,664
1627882045,665
1627882105,662
1627882165,663
1627882225,661
1627882285,659
1627882345,659
1627882405,660
1627882465,656
1627882525,659
1627882585,659
1627882645,658
1627882705,657
1627882765,654
1627882825,650
1627882885,646
1627882945,646
1627883005,648
1627883065,647
1627883125,651
1627883185,649
1627883245,647
1627883305,641
1627883365,642
1627883425,640
1627883485,640
1627883545,643
1627883605,642
1627883665,642
1627883725,642
1627883785,640
1627883845,640
1627883905,638
1627883965,637
1627884025,635
1627884085,636
1627884145,638
1627884205,633
1627884265,633
1627884325,633
1627884385,633
1627884445,632
1627884505,626
1627884565,628
1627884625,626
1627884685,624
1627884745,624
1627884805,623
1627884865,624
1627884925,625
1627884985,627
1627885045,624
1627885105,621
1627885165,615
1627885225,617
1627885285,619
1627885345,615
1627885405,614
1627885465,616
1627885525,617
1627885585,617
1627885645,619
1627885705,618
1627885765,622
1627885825,627
1627885885,628
1627885945,621
1627886005,617
1627886065,619
1627886125,619
1627886185,623
1627886245,626
1627886305,624
1627886365,625
1627886425,624
1627886485,625
1627886545,623
1627886605,623
1627886665,622
1627886725,620
1627886785,621
1627886845,623
1627886905,622
1627886965,624
1627887025,624
1627887085,624
1627887145,623
1627887205,619
1627887265,616
1627887325,616
1627887386,625
1627887446,624
1627887505,626
1627887565,628
1627887625,624
1627887686,622
1627887746,621
1627887806,623
1627887865,620
1627887926,618
1627887985,622
1627888045,618
1627888105,617
1627888166,617
1627888225,615
1627888285,617
1627888346,616
1627888406,616
1627888465,615
1627888525,613
1627888586,610
1627888646,610
1627888705,610
1627888765,610
1627888825,611
1627888885,607
1627888946,609
1627889005,608
1627889066,606
1627889126,603
1627889185,601
1627889246,600
1627889306,597
1627889365,598
1627889427,600
1627889485,601
1627889546,601
1627889605,599
1627889666,594
1627889725,597
1627889786,597
1627889846,598
1627889906,601
1627889966,600
1627890026,596
1627890086,595
1627890146,593
1627890206,594
1627890265,599
1627890325,600
1627890385,597
1627890445,597
1627890505,599
1627890566,607
1627890626,610
1627890685,607
1627890745,605
1627890805,607
1627890865,611
1627890926,610
1627890986,611
1627891046,612
1627891105,614
1627891166,612
1627891225,612
1627891285,610
1627891346,611
1627891405,614
1627891465,612
1627891525,607
1627891585,606
1627891645,610
1627891706,609
1627891766,609
1627891826,608
1627891885,608
1627891946,607
1627892005,607
1627892066,603
1627892125,601
1627892185,604
1627892246,607
1627892305,605
1627892365,607
1627892425,608
1627892485,610
1627892545,610
1627892606,610
1627892665,607
1627892725,603
1627892787,599
1627892845,597
1627892905,599
1627892965,599
1627893025,596
1627893085,592
1627893145,591
1627893205,592
1627893265,595
1627893325,596
1627893385,597
1627893445,599
1627893505,599
1627893565,600
1627893625,599
1627893685,598
1627893745,597
1627893805,598
1627893865,599
1627893925,594
1627893985,595
1627894045,595
1627894104,595
1627894165,594
1627894225,597
1627894285,598
1627894344,596
1627894405,595
1627894465,598
1627894524,594
1627894584,594
1627894645,592
1627894705,586
1627894765,588
1627894824,591
1627894885,594
1627894945,589
1627895004,583
1627895064,588
1627895125,589
1627895185,592
1627895244,590
1627895304,588
1627895364,589
1627895424,586
1627895485,586
1627895545,584
1627895605,578
1627895664,579
1627895724,575
1627895784,576
1627895844,576
1627895904,578
1627895964,577
1627896024,574
1627896085,579
1627896144,581
1627896205,582
1627896264,581
1627896324,576
1627896384,572
1627896444,573
1627896504,574
1627896564,570
1627896625,570
1627896685,571
1627896744,568
1627896805,570
1627896864,569
1627896924,565
1627896985,565
1627897044,574
1627897104,572
1627897165,571
1627897225,561
1627897284,565
1627897345,567
1627897405,568
1627897464,567
1627897524,560
1627897584,560
1627897644,559
1627897704,556
1627897764,556
1627897824,554
1627897884,555
1627897944,556
1627898004,553
1627898064,552
1627898124,551
1627898184,545
1627898244,547
1627898304,550
1627898364,550
1627898425,549
1627898484,551
1627898544,553
1627898604,549
1627898665,549
1627898724,551
1627898785,556
1627898845,554
1627898904,549
1627898964,542
1627899024,540
1627899084,541
1627899144,542
1627899204,541
1627899264,541
1627899324,544
1627899384,548
1627899444,550
1627899505,547
1627899564,539
1627899625,535
1627899684,535
1627899745,535
1627899804,539
1627899865,539
1627899925,536
1627899984,538
1627900044,533
1627900105,534
1627900165,529
1627900224,524
1627900284,528
1627900344,526
1627900404,527
1627900464,528
1627900524,524
1627900585,523
1627900646,525
1627900705,529
1627900765,534
1627900825,532
1627900884,530
1627900944,528
1627901004,528
1627901064,533
1627901125,532
1627901185,531
1627901244,531
1627901304,532
1627901364,536
1627901424,531
1627901484,529
1627901544,528
1627901605,533
1627901665,536
1627901724,539
1627901784,544
1627901845,545
1627901904,541
1627901965,543
1627902024,543
1627902084,542
1627902144,544
1627902204,545
1627902265,543
1627902325,542
1627902385,546
1627902445,544
1627902505,543
1627902564,543
1627902624,543
1627902685,545
1627902745,544
1627902804,547
1627902864,547
1627902925,541
1627902985,543
1627903045,544
1627903105,546
1627903166,551
1627903224,548
